timestamp,alphaDeg,measured,predicted,symmetric,error
1779423887911,322.445,8054.000,8079.495,8087.415,25.495
1779423887931,322.558,8088.000,8080.316,8087.415,-7.684
1779423887934,318.314,7952.000,8023.387,8099.216,71.387
1779423887951,322.650,8054.000,8080.437,8087.415,26.437
1779423887954,318.427,7952.000,8024.922,8099.216,72.922
1779423887971,322.742,8054.000,8080.558,8087.415,26.558
1779423887974,318.519,7952.000,8026.171,8099.216,74.171
1779423887991,322.855,8054.000,8080.707,8087.415,26.707
1779423887994,318.632,7952.000,8027.706,8099.216,75.706
1779423888011,322.958,8054.000,8080.842,8087.415,26.842
1779423888014,318.745,7986.000,8029.241,8099.216,43.241
1779423888034,318.827,7986.000,8030.346,8099.216,44.346
1779423888054,318.940,7986.000,8031.881,8099.216,45.881
1779423888074,319.053,8020.000,8033.416,8068.045,13.416
1779423888094,319.145,8020.000,8034.664,8068.045,14.664
1779423888114,319.247,8020.000,8036.055,8068.045,16.055
1779423888134,319.339,8020.000,8037.303,8068.045,17.303
1779423888154,319.452,8020.000,8038.837,8068.045,18.837
1779423888174,319.565,8020.000,8040.371,8068.045,20.371
1779423888194,319.646,8054.000,8041.475,8068.045,-12.525
1779423888214,319.759,8054.000,8043.009,8068.045,-10.991
1779423888234,319.872,8054.000,8044.542,8068.045,-9.458
1779423888254,319.953,8088.000,8045.646,8068.045,-42.354
1779423888274,320.066,8088.000,8047.179,8060.454,-40.821
1779423888294,320.158,8088.000,8048.426,8060.454,-39.574
1779423888314,320.281,8088.000,8050.102,8060.454,-37.898
1779423888334,320.373,8088.000,8051.348,8060.454,-36.652
1779423888341,316.033,7918.000,7992.405,8045.489,74.405
1779423888354,320.465,8088.000,8052.594,8060.454,-35.406
1779423888361,316.125,7918.000,7993.651,8045.489,75.651
1779423888374,320.578,8088.000,8054.127,8060.454,-33.873
1779423888381,316.248,7918.000,7995.327,8045.489,77.327
1779423888394,320.669,8088.000,8055.373,8060.454,-32.627
1779423888401,316.361,7918.000,7996.859,8045.489,78.859
1779423888414,320.782,8088.000,8056.905,8060.454,-31.095
1779423888421,316.453,7918.000,7998.105,8045.489,80.105
1779423888441,316.555,7918.000,7999.494,8045.489,81.494
1779423888461,316.636,7918.000,8000.596,8045.489,82.596
1779423888481,316.760,7952.000,8002.271,8045.489,50.271
1779423888501,316.873,7952.000,8003.803,8045.489,51.803
1779423888521,316.954,7952.000,8004.905,8045.489,52.905
1779423888541,317.056,7952.000,8006.293,8096.699,54.293
1779423888561,317.169,7918.000,8007.824,8096.699,89.824
1779423888581,317.281,7918.000,8009.356,8096.699,91.356
1779423888601,317.362,7918.000,8010.457,8096.699,92.457
1779423888621,317.475,7952.000,8011.988,8096.699,59.988
1779423888641,317.556,7952.000,8013.088,8096.699,61.088
1779423888661,317.669,7952.000,8014.619,8096.699,62.619
1779423888681,317.782,7918.000,8016.150,8096.699,98.150
1779423888701,317.873,7918.000,8017.394,8096.699,99.394
1779423888721,317.986,7952.000,8018.924,8096.699,66.924
1779423888741,318.077,7952.000,8020.167,8099.216,68.167
1779423888746,313.865,7986.000,7971.146,8015.921,-14.854
1779423888761,318.179,7952.000,8021.554,8099.216,69.554
1779423888766,313.956,7986.000,7971.729,8015.921,-14.271
1779423888781,318.292,7952.000,8023.084,8099.216,71.084
1779423888786,314.069,7986.000,7972.445,7896.648,-13.555
1779423888801,318.384,7952.000,8024.327,8099.216,72.327
1779423888806,314.150,7986.000,7972.960,7896.648,-13.040
1779423888821,318.496,7952.000,8025.857,8099.216,73.857
1779423888826,314.262,7986.000,7973.677,7896.648,-12.323
1779423888846,314.375,7952.000,7974.393,7896.648,22.393
1779423888866,314.466,7952.000,7974.975,7896.648,22.975
1779423888886,314.579,7952.000,7975.691,7896.648,23.691
1779423888906,314.692,7952.000,7976.407,7896.648,24.407
1779423888926,314.773,7952.000,7976.922,7896.648,24.922
1779423888946,314.896,7952.000,7977.705,7896.648,25.705
1779423888966,314.977,7952.000,7978.220,7896.648,26.220
1779423888986,315.089,7952.000,7979.579,7877.121,27.579
1779423889006,315.202,7952.000,7981.107,7877.121,29.107
1779423889026,315.282,7952.000,7982.205,7877.121,30.205
1779423889046,315.395,7952.000,7983.734,7877.121,31.734
1779423889066,315.486,7952.000,7984.975,7877.121,32.975
1779423889086,315.599,7952.000,7986.503,7877.121,34.503
1779423889106,315.711,7952.000,7988.030,7877.121,36.030
1779423889126,315.803,7952.000,7989.271,7877.121,37.271
1779423889146,315.894,7918.000,7990.512,7877.121,72.512
1779423889149,311.671,7884.000,7957.191,7947.211,73.191
1779423889166,315.985,7918.000,7991.753,7877.121,73.753
1779423889169,311.784,7918.000,7957.907,7947.211,39.907
1779423889186,316.108,7918.000,7993.423,8045.489,75.423
1779423889189,311.875,7918.000,7958.488,7947.211,40.488
1779423889206,316.221,7918.000,7994.950,8045.489,76.950
1779423889209,311.987,7918.000,7959.203,7947.211,41.203
1779423889226,316.312,7918.000,7996.190,8045.489,78.190
1779423889229,312.100,7918.000,7959.918,7940.227,41.918
1779423889249,312.180,7918.000,7960.432,7940.227,42.432
1779423889269,312.293,7918.000,7961.147,7940.227,43.147
1779423889289,312.405,7918.000,7961.862,7940.227,43.862
1779423889309,312.486,7952.000,7962.375,7940.227,10.375
1779423889329,312.598,7952.000,7963.090,7940.227,11.090
1779423889349,312.679,7952.000,7963.603,7940.227,11.603
1779423889369,312.791,7952.000,7964.318,7940.227,12.318
1779423889389,312.904,7952.000,7965.033,7940.227,13.033
1779423889409,312.995,7952.000,7965.613,7940.227,13.613
1779423889429,313.107,7952.000,7966.327,8015.921,14.327
1779423889449,313.219,7952.000,7967.042,8015.921,15.042
1779423889469,313.300,7952.000,7967.555,8015.921,15.555
1779423889489,313.412,7952.000,7968.269,8015.921,16.269
1779423889509,313.504,7986.000,7968.849,8015.921,-17.151
1779423889529,313.616,7986.000,7969.563,8015.921,-16.437
1779423889549,313.717,7986.000,7970.210,8015.921,-15.790
1779423889558,309.504,7884.000,7943.405,7967.563,59.405
1779423889569,313.809,7986.000,7970.790,8015.921,-15.210
1779423889578,309.584,7884.000,7943.917,7967.563,59.917
1779423889589,313.921,7986.000,7971.504,8015.921,-14.496
